5	3	歐幾
2036	480	裏
587	288	得 
41	19	西元前
68	41	三世
6	6	紀的
113	61	古希臘
79	46	數學家
393	210	現在
5462	727	被
847	258	認為
16487	921	是
83	36	幾何
65	49	之父
1	1	此畫
1	1	為拉斐爾
80124	961	的
821	222	作品
64	29	雅典
2420	146	學院
417	125	數學
359	194	利用
206	78	符號
1400	272	語言
1809	376	研究
340	160	數量
661	228	結構
407	187	變化
1983	498	以及
284	127	空間
6398	695	等
408	174	概念
64	39	一門
499	101	學科
2391	556	從
48	40	某種
21	14	角度看
298	162	屬
15018	874	於
542	249	形式
833	234	科學
902	349	一種
155	94	透過
5	5	抽象化
13497	876	和
239	52	邏輯
48	15	推理
2151	464	使用
1	1	由計數
385	144	計算
3	3	數學家們
31	23	拓展
1020	352	這些
4593	664	對
11	11	基本概念
104	83	完善
276	163	早
21559	888	在
43	22	古埃及
5003	687	而
25	19	那裡
9714	790	有
1139	403	更
7247	681	為
26	20	嚴謹
288	152	處理
41	38	那時
2170	528	開始
1956	421	發展
585	247	便
229	140	持續
333	183	不斷
1501	448	地
4	4	小幅
43	36	進展
2090	423	世紀
127	68	文藝
1431	378	復
22	14	興時期
33	29	致使
54	47	加速
209	141	直至
222	127	今日
1146	408	不同
425	168	領域
5384	770	中
2532	552	包括
1156	205	工程
314	99	醫學
290	54	經濟學
2	2	時亦會
16	15	激起
1351	433	新
750	271	發現
8	8	並導致
29	21	全新
6641	723	也
6	2	純數學
898	370	就是
214	136	本身
3	3	實質性
422	195	內容
27	25	不以
337	195	任何
409	208	實際
471	182	應用
194	120	目標
705	317	雖然
738	305	許多
2	2	以純
3385	611	但
2324	566	其
386	212	過程
81	57	之處
48	33	詞源
415	180	西方
1042	168	語
49	34	言中
252	137	一詞
140	97	源自
7	7	古希臘語
8	7	其有
276	137	學習
39	25	學問
157	108	即使
20	14	語源
1828	456	內
139	50	形容
532	162	詞
208	132	意思
210	154	有關
2	2	用功
1323	397	亦
2234	513	會
1228	418	用
3370	676	來
348	216	指
519	125	英語
201	78	表面
4194	700	上
567	261	複
319	190	數
2231	550	及
268	75	法語
4	4	可溯
1885	450	至
58	46	拉丁文
28	19	中性
1	1	由西塞羅譯
2	2	自希臘文
1155	383	此
1	1	一希臘語
1	1	被亞
47	18	里士多德
3	3	拿來
1	1	萬物皆數
248	49	漢字
865	279	表示
354	170	大約
425	214	產生
5542	551	中國
30	22	宋元
1730	359	時期
7	7	多指
1	1	象數
17	14	之學
2352	545	時
132	69	含有
200	125	今天
113	84	意義
1444	375	例如
5	5	秦九韶
23	12	九章
111	27	永樂
42	21	大典
5	5	數書
141	51	宋代
7	7	周密
47	38	所著
8	5	癸
1	1	辛雜識
160	122	記
15274	794	爲
6	6	大略
2	2	通軌
159	67	明代
1	1	柯尚
1	1	遷著
15	10	鑰
202	77	清代
1	1	杜知
1	1	耕著
1	1	數學拾
79	56	遺
1	1	丁取忠
95	57	撰
490	257	直到
443	239	經過
1	1	數學名
83	46	審查
428	145	委員會
11	8	算學
3	3	兩詞
128	97	狀況
9962	787	後
57	46	確認
3668	640	以
27	21	意義上
55	42	含義
2155	575	歷史
2	2	奇普
4	4	印加
1	1	帝國時
1512	469	所
14	9	計數
226	118	工具
1	1	瑪雅數
581	178	字
88	55	有着
5	4	久遠
401	194	古代
25	4	六藝
1232	420	之一
1910	481	就
65	47	希臘語
1	1	mathematik
98	45	ó
211	97	s
538	264	基礎
89	69	源
236	93	m
255	71	á
1	1	thema
318	144	知識
973	354	時間
3191	486	長
167	119	短
65	40	抽象
1	1	數量關
1089	327	係
298	141	比如
427	172	單位
2492	463	日
47	32	季節
12664	752	年
40	20	算術
6	5	加減
2	2	乘除
2	2	自然而然
1	1	地產生
10388	768	了
1165	380	曾
3	3	過許
1685	493	多
6	4	記數
1233	290	系統
218	156	最初
205	113	記錄
317	170	時候
114	88	瞭解
2	1	數字間
139	103	的關
126	56	測量
329	132	土地
277	47	預測
432	121	天文
685	239	事件
937	286	形成
